,time,open,highest,lowest,close,volume,amount
271,1518952320000,10465.1,10467.48,10429.66,10449.77,1130.0,10.803727293974
272,1518952380000,10453.11,10468.14,10448.75,10459.38,2770.0,26.471194676244
273,1518952440000,10468.05,10491.1,10452.69,10484.69,766.0,7.309953891253
274,1518952500000,10476.68,10512.0,10464.32,10500.0,600.0,5.720140778384
275,1518952560000,10498.0,10514.18,10459.2,10500.0,1562.0,14.874731742261
276,1518952620000,10500.0,10523.09,10500.0,10500.3,2790.0,26.544784758374
277,1518952680000,10517.27,10523.38,10500.0,10502.39,3412.0,32.481350760813996
278,1518952740000,10500.03,10522.72,10500.0,10500.6,2316.0,22.045900452027002
279,1518952800000,10507.02,10513.98,10500.6,10501.23,816.0,7.76636928619
280,1518952860000,10501.23,10514.4,10484.37,10486.94,1132.0,10.779553429988
281,1518952920000,10488.51,10509.15,10483.59,10509.15,1586.0,15.119669658065
282,1518952980000,10504.63,10504.63,10481.46,10482.43,430.0,4.097563303269999
283,1518953040000,10492.94,10492.94,10482.1,10482.1,670.0,6.391106991483
284,1518953100000,10479.6,10489.45,10470.68,10474.78,1792.0,17.102470287836002
285,1518953160000,10460.66,10500.57,10460.66,10497.75,146.0,1.3928901679730001
286,1518953220000,10478.69,10479.19,10468.84,10468.9,490.0,4.678699744216
287,1518953280000,10457.74,10458.03,10455.0,10455.0,516.0,4.935181810617
288,1518953340000,10445.09,10483.5,10445.09,10483.5,2470.0,23.638014563951998
289,1518953400000,10478.83,10478.83,10439.4,10445.01,396.0,3.7893248770699994
290,1518953460000,10431.58,10442.45,10431.58,10442.45,214.0,2.049463532189
291,1518953520000,10442.45,10461.83,10435.23,10456.48,2264.0,21.669222824450003
292,1518953580000,10440.18,10456.79,10440.18,10442.99,102.0,0.97648645889
293,1518953640000,10460.13,10462.24,10459.98,10462.24,78.0,0.745673330624
294,1518953700000,10472.85,10472.85,10429.05,10452.66,84.0,0.803508018414
295,1518953760000,10463.83,10480.0,10442.77,10470.19,234.0,2.235275635816
296,1518953820000,10471.97,10486.35,10444.63,10444.63,516.0,4.928141459751
297,1518953880000,10466.4,10502.87,10466.4,10471.77,348.0,3.3166777373689995
298,1518953940000,10482.06,10493.63,10463.58,10482.0,232.0,2.213724141029
299,1518954000000,10486.27,10525.71,10482.5,10525.71,406.0,3.867492293473
300,1518954060000,10526.49,10547.92,10526.49,10537.52,166.0,1.575679428551
301,1518954120000,10536.87,10544.41,10532.25,10540.78,160.0,1.517910142058
302,1518954180000,10540.64,10540.75,10510.56,10512.67,178.0,1.690026844093
303,1518954240000,10515.91,10521.19,10501.11,10513.11,942.0,8.961488779455
304,1518954300000,10514.84,10527.27,10504.05,10515.66,1364.0,12.976173214565
305,1518954360000,10506.48,10533.26,10499.56,10533.26,322.0,3.059171954183
306,1518954420000,10533.26,10533.26,10500.35,10515.14,382.0,3.632130624436
307,1518954480000,10517.47,10519.81,10506.24,10506.24,160.0,1.5213654220480002
308,1518954540000,10518.92,10532.76,10518.68,10522.49,1298.0,12.337418639245
309,1518954600000,10522.91,10533.26,10522.91,10533.26,78.0,0.740708855696
310,1518954660000,10536.6,10561.27,10536.6,10560.0,96.0,0.9098664589
311,1518954720000,10560.0,10574.0,10560.0,10574.0,38.0,0.359453425767
312,1518954780000,10573.0,10589.5,10546.42,10558.48,856.0,8.097138881953
313,1518954840000,10550.01,10560.71,10546.37,10556.15,328.0,3.1084910819200005
314,1518954900000,10551.93,10551.93,10534.61,10536.14,82.0,0.778273054734
315,1518954960000,10556.99,10556.99,10556.99,10556.99,24.0,0.22733752707899998
316,1518955020000,10554.18,10555.48,10554.18,10555.48,4.0,0.037897341929
317,1518955080000,10555.48,10577.01,10555.21,10555.53,34.0,0.322025132932
318,1518955140000,10568.14,10568.14,10540.3,10543.98,120.0,1.136660871181
319,1518955200000,10539.37,10539.37,10531.14,10537.26,1372.0,13.018093059481
320,1518955260000,10533.39,10533.39,10490.62,10490.62,278.0,2.643588667809
321,1518955320000,10493.79,10505.82,10489.62,10502.1,708.0,6.742447199692
322,1518955380000,10492.53,10504.23,10459.57,10459.57,4362.0,41.541996176284
323,1518955440000,10457.72,10464.39,10457.72,10464.39,804.0,7.683759094947
324,1518955500000,10456.05,10488.26,10448.0,10459.91,626.0,5.980653894215
325,1518955560000,10450.1,10474.67,10448.72,10468.1,1764.0,16.872033563152
326,1518955620000,10475.14,10475.14,10451.81,10464.79,94.0,0.8988161094600001
327,1518955680000,10476.34,10479.0,10474.18,10479.0,672.0,6.413072564269999
328,1518955740000,10496.35,10503.92,10486.77,10503.92,52.0,0.495483613637
329,1518955800000,10494.3,10506.26,10492.92,10506.26,28.0,0.266602578873
330,1518955860000,10481.29,10507.09,10467.19,10476.32,370.0,3.529819249706
331,1518955920000,10472.72,10492.51,10466.79,10492.51,128.0,1.221541695178
332,1518955980000,10487.43,10488.08,10468.97,10469.76,2028.0,19.351492332487
333,1518956040000,10469.79,10474.78,10469.79,10474.49,72.0,0.687666104595
334,1518956100000,10470.0,10471.08,10461.61,10461.61,76.0,0.725951413091
335,1518956160000,10462.91,10478.12,10451.09,10471.13,322.0,3.0748223148400005
336,1518956220000,10469.99,10479.69,10465.31,10471.34,1542.0,14.733655334605
337,1518956280000,10470.36,10470.36,10467.6,10467.65,30.0,0.286573282137
338,1518956340000,10473.73,10474.43,10468.92,10468.92,42.0,0.401004135819
339,1518956400000,10461.87,10461.87,10439.49,10439.49,506.0,4.843280720035
340,1518956460000,10443.49,10458.65,10429.4,10441.08,606.0,5.803917381296
341,1518956520000,10434.18,10434.18,10403.34,10430.0,234.0,2.244685348903
342,1518956580000,10403.23,10412.0,10380.11,10387.08,1824.0,17.549735280828
343,1518956640000,10389.71,10418.14,10389.71,10402.15,962.0,9.246325267178
344,1518956700000,10406.99,10426.08,10400.0,10400.0,158.0,1.516858906095
345,1518956820000,10429.27,10429.27,10429.27,10429.27,0.0,0.0
346,1518956760000,10427.98,10456.18,10423.21,10423.21,128.0,1.226267845583
